City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Padang,-0.9492,100.3543,77.05,89,100,2.51,ID,2021-12-04 22:50:58
102,Baldwin,30.7505,-87.7667,70.56,94,1,4.29,US,2021-12-04 22:50:58
103,Gamba,-2.65,10.0,77.63,90,97,5.3,GA,2021-12-04 22:48:15
104,Barrow,71.2906,-156.7887,15.82,79,90,16.11,US,2021-12-04 22:46:23
105,Kirakira,-10.4544,161.9205,84.7,72,63,2.42,SB,2021-12-04 22:50:59
106,Ostrovnoy,68.0531,39.5131,3.94,96,81,7.61,RU,2021-12-04 22:50:59
107,Sukhumi,43.0033,41.0153,53.74,47,79,3.53,GE,2021-12-04 22:51:00
108,Madimba,-10.4,40.3333,78.51,82,87,8.19,TZ,2021-12-04 22:51:00
109,Upington,-28.4478,21.2561,62.98,51,8,11.5,ZA,2021-12-04 22:51:00
110,Saint-Francois,46.4154,3.9054,41.47,85,75,11.5,FR,2021-12-04 22:51:00
111,Beisfjord,68.3751,17.5988,14.05,81,3,10.09,NO,2021-12-04 22:51:01
112,Ushuaia,-54.8,-68.3,51.46,54,40,19.57,AR,2021-12-04 22:49:26
113,Guerrero Negro,27.9769,-114.0611,66.51,69,100,18.03,MX,2021-12-04 22:48:07
114,Nanakuli,21.3906,-158.1547,74.71,73,75,17.27,US,2021-12-04 22:51:01
115,Raudeberg,61.9875,5.1352,33.96,95,100,1.99,NO,2021-12-04 22:51:01
116,Lebu,-37.6167,-73.65,56.53,74,0,20.78,CL,2021-12-04 22:46:04
117,Port Macquarie,-31.4333,152.9167,66.16,84,99,13.96,AU,2021-12-04 22:51:02
118,Husavik,66.0449,-17.3389,15.71,81,23,14.16,IS,2021-12-04 22:51:02
119,Hobart,-42.8794,147.3294,59.25,53,75,3.0,AU,2021-12-04 22:50:31
120,Eyrarbakki,63.863,-21.1481,26.65,79,43,9.31,IS,2021-12-04 22:51:02
121,Rabo De Peixe,37.8,-25.5833,62.28,97,75,3.44,PT,2021-12-04 22:51:03
122,Lagoa,39.05,-27.9833,63.43,83,71,10.63,PT,2021-12-04 22:47:37
